Dataset,k,AUC,AUPRC,SIL,AUC_STD,AUPRC_STD,SIL_STD
aki_new,2,0.580,0.557,0.535,0,0,0
aki_new,3,0.586,0.559,0.408,0,0,0
aki_new,4,0.603,0.590,0.387,0,0,0
aki_new,5,0.582,0.537,0.464,0,0,0
aki_new,6,0.594,0.567,0.419,0,0,0
aki_new,7,0.593,0.546,0.398,0,0,0
aki_new,8,0.567,0.578,0.403,0,0,0
aki_new,10,0.594,0.577,0.150,0,0,0

ards_new,2,0.520,0.141,0.571,0,0,0
ards_new,3,0.843,0.490,0.455,0,0,0
ards_new,4,0.906,0.535,0.726,0,0,0
ards_new,5,0.913,0.600,0.327,0,0,0
ards_new,6,0.868,0.463,0.519,0,0,0
ards_new,7,0.908,0.533,0.475,0,0,0
ards_new,8,0.902,0.535,0.326,0,0,0
ards_new,10,0.902,0.494,0.402,0,0,0

Dataset,k,AUC,AUPRC,SIL
aki48,2,0.496,0.588,0.588
aki48,3,0.658,0.732,0.568
aki48,4,0.651,0.731,0.437
aki48,5,0.670,0.733,0.422
aki48,6,0.575,0.640,0.510
aki48,7,0.578,0.668,0.510
aki48,8,0.677,0.752,0.536
aki48,10,0.648,0.734,0.377

ards48,2,0.899,0.782,0.625
ards48,3,0.905,0.821,0.161
ards48,4,0.909,0.820,0.459
ards48,5,0.905,0.800,0.396
ards48,6,0.908,0.833,0.402
ards48,7,0.883,0.765,0.349
ards48,8,0.896,0.802,0.296
ards48,10,0.881,0.766,0.368

